Title,Price,Neighbourhood,All Images,Description,Posting URL,Property Type,Size,Rooms
Superbe appart vide à louer aux princesses,9 000 DH,"Les princesses, Casablanca","https://www.mubawab-media.com/ad/8/057/263F/h/PHOTO-2024-12-14-17-40-06-2_79431075.avif, https://www.mubawab-media.com/ad/8/057/263F/h/PHOTO-2024-12-14-17-40-04_79431077.avif, https://www.mubawab-media.com/ad/8/057/263F/h/PHOTO-2024-12-14-17-40-05_79431078.avif, https://www.mubawab-media.com/ad/8/057/263F/h/PHOTO-2024-12-14-17-40-06_79431079.avif, https://www.mubawab-media.com/ad/8/057/263F/h/PHOTO-2024-12-14-17-40-07-2_79431080.avif, https://www.mubawab-media.com/ad/8/057/263F/h/PHOTO-2024-12-14-17-40-07_79431081.avif, https://www.mubawab-media.com/ad/8/057/263F/h/PHOTO-2024-12-14-17-40-08-2_79431082.avif, https://www.mubawab-media.com/ad/8/057/263F/h/PHOTO-2024-12-14-17-40-08_79431083.avif","Superbe appartement vide encore neuf à louer au 5ème et dernier étage d'une très belle résidence au quartier des princesses. D'une surface de 82m dont 12 de terrasse, cet appartement se répartit comme suit : - Un salon avec terrasse de 12m. - Une cuisine américaine équipée du trio. - Une suite parentale avec sa propre salle de bain. - Une deuxième chambre à coucher. - Une deuxième salle de bain. - Une place de parking titrée. Appartement très ensoleillé disposant de climatisation. Contactez nous rapidement pour visiter ce superbe appartement",https://www.mubawab.ma/fr/a/8057263/superbe-appart-vide-%C3%A0-louer-aux-princesses,Appartement,"82
						m²",3 Pièces
Très beau Studio Ferme bretonne a cote de CFC,7 000 DH,"Ferme Bretonne (Hay Arraha), Casablanca",https://www.mubawab-media.com/ad/7/831/151F/h/IMG-20231215-WA0017%281%29_62882885.avif,"Je mets en location un très beau studio meublé au quartier chic Ferme bretonne très bon emplacement, le bien est tout neuf tout équipé très bonne occasion à saisir",https://www.mubawab.ma/fr/a/7831151/tr%C3%A8s-beau-studio-ferme-bretonne-a-cote-de-cfc,Appartement,"60
						m²",2 Pièces
"Appartement avec terrasse sur agdal 
rabat",13 000 DH,"Agdal, Rabat","https://www.mubawab-media.com/ad/8/173/606F/h/IMG20250702101804_80597580.avif, https://www.mubawab-media.com/ad/8/173/606F/h/IMG20250702102100_80597582.avif, https://www.mubawab-media.com/ad/8/173/606F/h/IMG20250702102008_80597583.avif, https://www.mubawab-media.com/ad/8/173/606F/h/IMG20250702102002_80597584.avif, https://www.mubawab-media.com/ad/8/173/606F/h/IMG20250702101954_80597585.avif, https://www.mubawab-media.com/ad/8/173/606F/h/IMG20250702101947_80597586.avif, https://www.mubawab-media.com/ad/8/173/606F/h/IMG20250702101910_80597587.avif, https://www.mubawab-media.com/ad/8/173/606F/h/IMG20250702101902_80597588.avif, https://www.mubawab-media.com/ad/8/173/606F/h/IMG20250702101752_80597589.avif, https://www.mubawab-media.com/ad/8/173/606F/h/IMG20250702101742_80597590.avif, https://www.mubawab-media.com/ad/8/173/606F/h/IMG20250702101723_80597591.avif, https://www.mubawab-media.com/ad/8/173/606F/h/IMG20250702101718_80597592.avif, https://www.mubawab-media.com/ad/8/173/606F/h/IMG20250702101709_80597593.avif, https://www.mubawab-media.com/ad/8/173/606F/h/IMG20250702101600_80597594.avif, https://www.mubawab-media.com/ad/8/173/606F/h/IMG20250702102039_80597595.avif","Proche des écoles et moyens de transports de agdal Cet appartement en est excellent état, un bel ensoleillement, une bonne localisation,... 200m2 avec une terrasse et sans vis à vis. Un grand salon spacieux et lumineux, quatre chambres, deux toilettes, deux salles de bains. espace pour la réception. Grande Cuisine, beanderie, terrasse. Au 4eme étage avec Ascenseur. Une place de stationnement au sein du garage souterrain de l'immeuble L'ensemble est très accueillant, bien aménagé, agréable à vivre, avec de belles finitions De nombreux commerces se trouvent à proximité : restaurants, supermarchés, pressing, etc... ainsi que des écoles Egalement proche des accès routiers et autoroutiers, hyper pratique Vraiment, voici un appartement idéal pour cabinet médical ou autre activité.",https://www.mubawab.ma/fr/a/8173606/appartement-avec-terrasse-sur-agdal-rabat,Appartement,"180
						m²",5 Pièces
Appartement vide 3 chambres à louer – Abdelmoumen,7 500 DH,"Les Hôpitaux, Casablanca","https://www.mubawab-media.com/ad/7/739/508F/h/DSC09025_79200600.avif, https://www.mubawab-media.com/ad/7/739/508F/h/DSC09028_79200601.avif, https://www.mubawab-media.com/ad/7/739/508F/h/DSC09030_79200602.avif, https://www.mubawab-media.com/ad/7/739/508F/h/DSC09039_79200606.avif, https://www.mubawab-media.com/ad/7/739/508F/h/DSC09041_79200607.avif, https://www.mubawab-media.com/ad/7/739/508F/h/DSC09043_79200608.avif, https://www.mubawab-media.com/ad/7/739/508F/h/DSC09049_79200609.avif, https://www.mubawab-media.com/ad/7/739/508F/h/DSC09051_79200610.avif, https://www.mubawab-media.com/ad/7/739/508F/h/DSC09057_79200611.avif, https://www.mubawab-media.com/ad/7/739/508F/h/WhatsApp%20Image%202025-04-25%20%C3%A0%2014.58.54_cd98a563_80259313.avif, https://www.mubawab-media.com/ad/7/739/508F/h/WhatsApp%20Image%202025-04-25%20%C3%A0%2014.58.54_497ffe6d_80259314.avif","Nous vous proposons à la location un appartement vide fraîchement rénové, situé au 4ème étage d'une résidence très calme, sécurisée et bien entretenue, avec ascenseur, dans le quartier prisé d’Abdelmoumen. D’une superficie bien agencée, l’appartement se compose de : 3 chambres spacieuses Double salon lumineux 2 salles de bains 1 salle d’eau pour invités Cuisine séparée L'appartement est bien ensoleillé, bénéficie d’un bon voisinage, et offre un cadre de vie agréable et sécurisé, idéal pour une famille. Quartier Abdelmoumen – Proche de toutes commodités : commerces, écoles, transports, tramway. Contactez-nous pour organiser une visite !",https://www.mubawab.ma/fr/a/7739508/appartement-vide-3-chambres-%C3%A0-louer-%E2%80%93-abdelmoumen,Appartement,"126
						m²",4 Pièces
"SOMPTUEUX et spacieux appartement à louer, CIL",26 000 DH,"CIL (Hay Salam), Casablanca","https://www.mubawab-media.com/ad/7/847/689F/h/P3_65444090.avif, https://www.mubawab-media.com/ad/7/847/689F/h/P1_65444084.avif, https://www.mubawab-media.com/ad/7/847/689F/h/P2_65444088.avif, https://www.mubawab-media.com/ad/7/847/689F/h/P4_65444091.avif, https://www.mubawab-media.com/ad/7/847/689F/h/P5_65444092.avif, https://www.mubawab-media.com/ad/7/847/689F/h/P6_65444093.avif, https://www.mubawab-media.com/ad/7/847/689F/h/P7_65444094.avif, https://www.mubawab-media.com/ad/7/847/689F/h/P8_65444095.avif, https://www.mubawab-media.com/ad/7/847/689F/h/P9_65444096.avif, https://www.mubawab-media.com/ad/7/847/689F/h/P10_65444097.avif, https://www.mubawab-media.com/ad/7/847/689F/h/P11_65444098.avif, https://www.mubawab-media.com/ad/7/847/689F/h/P12_65444099.avif","Ref AL643 / SOMPTUEUX APPARTEMENT à louer, 4 chambres Idéalement situé, dans une très belle résidence au CIL Superficie de 220 m2 - Hall d’entrée - Salon avec coin cheminée - Grand Salon marocain - Terrasse couverte (orienté sud) - Toilette invités - Suite parentale avec dressing, salle de bain et terrasse - 2 Chambres d’enfants chacune avec une terrasse - Salle de bain commune - Chambre bureau aménagée d’une bibliothèque en bois - Cuisine entièrement équipée (plaque chauffante, hôte aspirante, four, lave-vaisselle, et filtre à eau) - Buanderie et dépendances - 1 Place de Garage couverte au sous-sol - 1 Place au Garage non couverte à l’extérieur Frais d’agence 1 mois de loyer HT",https://www.mubawab.ma/fr/a/7847689/somptueux-et-spacieux-appartement-%C3%A0-louer-cil,Appartement,"220
						m²",6 Pièces
Louez cet appartement à Casablanca Finance City. 3 pièces. B...,15 000 DH,"Casablanca Finance City, Casablanca","https://www.mubawab-media.com/ad/7/931/960F/h/photo_00_76536408.avif, https://www.mubawab-media.com/ad/7/931/960F/h/photo_01_76536409.avif, https://www.mubawab-media.com/ad/7/931/960F/h/photo_02_76536410.avif, https://www.mubawab-media.com/ad/7/931/960F/h/photo_03_76536411.avif, https://www.mubawab-media.com/ad/7/931/960F/h/photo_04_76536412.avif, https://www.mubawab-media.com/ad/7/931/960F/h/photo_05_76536413.avif, https://www.mubawab-media.com/ad/7/931/960F/h/photo_06_76536414.avif, https://www.mubawab-media.com/ad/7/931/960F/h/photo_07_76536415.avif, https://www.mubawab-media.com/ad/7/931/960F/h/photo_08_76536416.avif, https://www.mubawab-media.com/ad/7/931/960F/h/photo_09_76536417.avif, https://www.mubawab-media.com/ad/7/931/960F/h/photo_010_76536418.avif, https://www.mubawab-media.com/ad/7/931/960F/h/photo_011_76536419.avif, https://www.mubawab-media.com/ad/7/931/960F/h/photo_012_76536420.avif, https://www.mubawab-media.com/ad/7/931/960F/h/photo_013_76536421.avif, https://www.mubawab-media.com/ad/7/931/960F/h/photo_014_76536422.avif, https://www.mubawab-media.com/ad/7/931/960F/h/photo_015_76536423.avif, https://www.mubawab-media.com/ad/7/931/960F/h/photo_016_76536424.avif","Appartement à louer idéalement placé. Prix 15 000 DH. 2 chambres, 2 salles de bains, 110 m². 3 pièces. 8ème étage. Moins de 5 ans. Type de sol: Marbre. Entièrement meublé. Cet appartement est proposé à la location à Casablanca Finance City. Résidence parfaitement équipée avec ascenseur et parking. Vous profiterez également d'une belle terrasse. Appréciez le confort de la climatisation. La résidence dispose également d'un service de concierge. Soyez le premier à visiter cet appartement à louer à Casablanca. Équipé d'une porte blindée. La résidence est sécurisée. Lave-linge. Cuisine bien équipée.",https://www.mubawab.ma/fr/a/7931960/louez-cet-appartement-%C3%A0-casablanca-finance-city-3-pi%C3%A8ces-bien-meubl%C3%A9,Appartement,"110
						m²",3 Pièces
Studio en location à Bourgogne Ouest. Superficie 50 m². Meub...,5 500 DH,"Bourgogne Ouest, Casablanca","https://www.mubawab-media.com/ad/7/752/377F/h/photo_00_62081175.avif, https://www.mubawab-media.com/ad/7/752/377F/h/photo_01_62081181.avif, https://www.mubawab-media.com/ad/7/752/377F/h/photo_02_62081182.avif, https://www.mubawab-media.com/ad/7/752/377F/h/photo_03_62081183.avif, https://www.mubawab-media.com/ad/7/752/377F/h/photo_04_62081184.avif, https://www.mubawab-media.com/ad/7/752/377F/h/photo_05_62081185.avif, https://www.mubawab-media.com/ad/7/752/377F/h/photo_06_62081186.avif, https://www.mubawab-media.com/ad/7/752/377F/h/photo_07_62081187.avif","Belles prestations pour cet appartement à louer. Prix 6 000 DH. 2 pièces, 1 salle de bains, superficie 50 m². 1 chambre. 4ème étage. Moins de 10 ans. Revêtement: Marbre. Bien meublé. Cet appartement est à louer à Bourgogne Ouest, Casablanca. Dispose d'une terrasse. Résidence avec ascenseur. À proximité: commerces à moins de 50 mètres, supermarché et pharmacie à 50 mètres, écoles, grande surface et restaurants à 100 mètres, librairie à 200 mètres, hôpitaux à 450 mètres, gare et transports en commun à 500 mètres, plage à 900 mètres, service de taxi à 1.3 kilomètre.",https://www.mubawab.ma/fr/a/7752377/studio-en-location-%C3%A0-bourgogne-ouest-superficie-50-m%C2%B2-meubl%C3%A9,Appartement,"50
						m²",2 Pièces
Beau studio à cfc,9 000 DH,"Casablanca Finance City, Casablanca","https://www.mubawab-media.com/ad/8/180/855F/h/1000363333_80671149.avif, https://www.mubawab-media.com/ad/8/180/855F/h/1000363325_80671150.avif, https://www.mubawab-media.com/ad/8/180/855F/h/1000363327_80671151.avif, https://www.mubawab-media.com/ad/8/180/855F/h/1000363328_80671152.avif, https://www.mubawab-media.com/ad/8/180/855F/h/1000363331_80671153.avif, https://www.mubawab-media.com/ad/8/180/855F/h/1000363317_80671154.avif, https://www.mubawab-media.com/ad/8/180/855F/h/1000363319_80671155.avif, https://www.mubawab-media.com/ad/8/180/855F/h/1000363321_80671156.avif, https://www.mubawab-media.com/ad/8/180/855F/h/1000363323_80671157.avif",Global land strategies vous propose un bel appartement meublé N'hésitez pas à nous contacter pour plus de détails,https://www.mubawab.ma/fr/a/8180855/beau-studio-%C3%A0-cfc,Appartement,"61
						m²",2 Pièces
Joli villa meuble à location situe à Ain Sebaa,16 500 DH,"Aïn Sebaâ, Casablanca","https://www.mubawab-media.com/ad/8/055/954F/h/WhatsApp%20Image%202024-12-13%20%C3%A0%2012.39.49_0b72e3a0_79418102.avif, https://www.mubawab-media.com/ad/8/055/954F/h/WhatsApp%20Image%202024-12-13%20%C3%A0%2012.39.49_69fff7d1_79418103.avif, https://www.mubawab-media.com/ad/8/055/954F/h/WhatsApp%20Image%202024-12-13%20%C3%A0%2012.39.49_c88ebccd_79418104.avif, https://www.mubawab-media.com/ad/8/055/954F/h/WhatsApp%20Image%202024-12-13%20%C3%A0%2012.39.50_c4ee931f_79418105.avif, https://www.mubawab-media.com/ad/8/055/954F/h/WhatsApp%20Image%202024-12-13%20%C3%A0%2012.41.37_4dc8df42_79418106.avif, https://www.mubawab-media.com/ad/8/055/954F/h/WhatsApp%20Image%202024-12-13%20%C3%A0%2012.41.38_1a07ec53_79418107.avif, https://www.mubawab-media.com/ad/8/055/954F/h/WhatsApp%20Image%202024-12-13%20%C3%A0%2012.41.38_ba39d75a_79418108.avif, https://www.mubawab-media.com/ad/8/055/954F/h/WhatsApp%20Image%202024-12-13%20%C3%A0%2012.41.38_d89631e6_79418109.avif, https://www.mubawab-media.com/ad/8/055/954F/h/WhatsApp%20Image%202024-12-13%20%C3%A0%2012.41.39_5a957bc3_79418110.avif, https://www.mubawab-media.com/ad/8/055/954F/h/WhatsApp%20Image%202024-12-13%20%C3%A0%2012.41.39_45a89ee8_79418111.avif, https://www.mubawab-media.com/ad/8/055/954F/h/WhatsApp%20Image%202024-12-13%20%C3%A0%2012.41.39_1026db90_79418112.avif, https://www.mubawab-media.com/ad/8/055/954F/h/WhatsApp%20Image%202024-12-13%20%C3%A0%2012.41.39_b4b82241_79418113.avif, https://www.mubawab-media.com/ad/8/055/954F/h/WhatsApp%20Image%202024-12-13%20%C3%A0%2012.41.39_fa9c137d_79418114.avif, https://www.mubawab-media.com/ad/8/055/954F/h/WhatsApp%20Image%202024-12-13%20%C3%A0%2012.41.40_2ed37981_79418115.avif, https://www.mubawab-media.com/ad/8/055/954F/h/WhatsApp%20Image%202024-12-13%20%C3%A0%2012.41.40_5ac0734d_79418116.avif, https://www.mubawab-media.com/ad/8/055/954F/h/WhatsApp%20Image%202024-12-13%20%C3%A0%2012.39.50_94acbfb8_79418117.avif, https://www.mubawab-media.com/ad/8/055/954F/h/WhatsApp%20Image%202024-12-13%20%C3%A0%2012.39.50_21551169_79418118.avif","Vous propose à la location une villa meuble dans un emplacement premium situe à Ain Sebaa avec un terrain 200m et une superficie habitable de 380m2, et proche de toutes commodités. Se compose de : Un salon Quatre chambres à coucher Trois Salles de bain Espace bureau Un séjour Une Grande Cuisine équipée avec salle à manger Une grande terrasse avec Jardin Loyer mensuel : 16 500 dhs 2mois de caution Pour plus d’informations et pour programmer une visite, contactez-nous dès aujourd’hui.",https://www.mubawab.ma/fr/a/8055954/joli-villa-meuble-%C3%A0-location-situe-%C3%A0-ain-sebaa,Villa,"380
						m²",1 Pièce
CFC Joli APT 2CH Meublé,13 500 DH,"Casablanca Finance City, Casablanca","https://www.mubawab-media.com/ad/8/167/689F/h/f791128b-e330-4492-bca7-d032d09e6661_80616648.avif, https://www.mubawab-media.com/ad/8/167/689F/h/IMG_5387_80616641.avif, https://www.mubawab-media.com/ad/8/167/689F/h/IMG_5385_80616642.avif, https://www.mubawab-media.com/ad/8/167/689F/h/df503032-9353-4c14-853e-02b78a37611f_80616643.avif, https://www.mubawab-media.com/ad/8/167/689F/h/1a81cf96-aa22-405c-aabd-e359d79687e4_80616644.avif, https://www.mubawab-media.com/ad/8/167/689F/h/948053f0-caec-42b2-b916-9fde5687a70a_80616645.avif, https://www.mubawab-media.com/ad/8/167/689F/h/c286c036-0cf8-4384-9595-c36a7a3cbc5a_80616646.avif, https://www.mubawab-media.com/ad/8/167/689F/h/29e20361-c6c2-41a1-95e5-7216ae58af9d_80616647.avif, https://www.mubawab-media.com/ad/8/167/689F/h/IMG_5157_80616649.avif","Découvrez ce bel appartement meublé de 105 m², situé au sein d’une résidence sécurisée à proximité immédiate d’Aeria Mall. Composition : – 2 chambres avec rangements – 2 salles de bain modernes – Réception spacieuse avec coin salon et salle à manger Caractéristiques et atouts : – Mobilier de luxe et finitions haut de gamme – Orientation optimale assurant une belle luminosité – Prestations de standing – Climatisation centralisée – Place de parking incluse – Résidence sécurisée et bien entretenue Disponible à partir du mois d’août Pour plus d’informations, veuillez contacter notre agent expert.",https://www.mubawab.ma/fr/a/8167689/cfc-joli-apt-2ch-meubl%C3%A9,Appartement,"105
						m²",2 Pièces
